Unnamed: 0,MolWt,FpDensityMorgan1,PEOE_VSA7,BCUT2D_CHGLO,VSA_EState4,MinPartialCharge,BalabanJ,MolLogP,TPSA,PEOE_VSA6,EState_VSA4,BCUT2D_LOGPLOW,FractionCSP3,SMR_VSA7,NumRotatableBonds,SMR_VSA10,NHOHCount,EState_VSA6,EState_VSA2,SlogP_VSA3,NumHAcceptors,SlogP_VSA1,RingCount,fr_allylic_oxid,"CC50, mM"
231,372.4640000000001,1.107142857142857,58.92518745795806,-2.55933405882241,3.908324633342967,-0.4891063815384721,1.430212234933393,5.831200000000006,39.44,50.25532984852317,34.60136670023009,-2.48432807425335,0.32,76.66655175620745,4,10.96924435610704,0,6.06636706846161,5.625586319077987,0.0,3,10.36244927287804,6,1,148.4691302340067
232,382.4120000000003,0.9285714285714286,54.65483612601847,-2.144514886122313,3.125778246284998,-0.4927023547210425,1.609890864148503,3.886500000000003,67.13,0.0,41.33904355833381,-2.065456179048529,0.3181818181818182,57.44231332054885,6,10.96924435610704,0,27.39575969229421,5.625586319077987,19.44852521036494,6,24.57303813427819,4,0,298.6268915869326
233,296.3220000000001,1.045454545454545,42.31610845693106,-2.084319069605721,2.082245875316764,-0.4967556876141794,1.830400234062128,3.689020000000003,48.67,12.13273413692322,22.26263903114269,-1.989713332079555,0.1666666666666667,70.07796303423669,4,10.96924435610704,0,13.17616460973914,5.625586319077987,6.606881964512918,4,15.09931222667809,3,0,1113.638357754635
234,307.4780000000001,1.181818181818182,62.44442348817477,-2.381467999191649,0.508767670195565,-0.4617120510898198,1.469244191291587,3.866400000000003,29.54,27.6949487987625,37.89090293298652,-2.390237567682523,0.9473684210526315,0.0,4,5.969305287951849,0,0.0,17.48826214509693,9.53140013787187,3,0.0,3,0,56.26382203720567
235,310.393,1.304347826086957,60.28547316595169,-2.559333795861269,3.044152911107052,-0.4891063848288014,1.547478975329204,4.472620000000004,39.44,19.92349450621513,22.61709358560709,-2.484328372667528,0.45,51.89816790559639,3,10.96924435610704,0,0.0,5.625586319077987,0.0,3,10.36244927287804,5,1,129.833729063103
236,221.3879999999999,1.25,37.01618300726221,-2.342580687578126,2.463294123204838,-0.2935255162835875,2.035373111678648,4.463800000000004,12.36,40.53659204461451,12.46266245207397,-2.32181032228309,0.9333333333333333,0.0,4,5.711685002770702,0,5.711685002770702,0.0,0.0,1,0.0,2,0,799.9494103139722
237,310.393,1.304347826086957,60.28547316595169,-2.559333795861269,3.044152911107052,-0.4891063848288014,1.547478975329204,4.472620000000004,39.44,19.92349450621513,22.61709358560709,-2.484328372667528,0.45,51.89816790559639,3,10.96924435610704,0,0.0,5.625586319077987,0.0,3,10.36244927287804,5,1,30.28379784598434
238,294.439,1.19047619047619,37.64303336701339,-2.385541797641238,0.4873269426380897,-0.4608046758440379,1.543966287625237,1.991799999999999,32.78,20.77121159907187,38.5177532927377,-2.471560421657661,0.9411764705882353,0.0,3,5.969305287951849,0,0.0,17.48826214509693,9.53140013787187,4,0.0,3,0,99.8502246630055
239,295.4230000000001,1.285714285714286,30.5953613843362,-2.380943602543363,0.4806013478815158,-0.4617120510143604,1.494156493859073,2.4667,38.77,20.77121159907187,45.18676081585096,-2.398119151518226,0.9411764705882353,0.0,4,5.969305287951849,0,0.0,17.48826214509693,14.26826309167192,4,0.0,3,0,551.7456148070921
240,249.442,1.111111111111111,37.01618300726221,-2.342608592401805,2.466687717812357,-0.2935255148336903,1.839641419080576,5.244000000000006,12.36,53.37823529046652,12.46266245207397,-2.321823410410106,0.9411764705882353,0.0,6,5.711685002770702,0,5.711685002770702,0.0,0.0,1,0.0,2,0,233.7207297859631
241,308.4660000000001,1.181818181818182,37.64303336701339,-2.38190892798213,0.4965913616556202,-0.4617120510472201,1.469244191291587,2.381900000000001,32.78,20.77121159907187,45.06250969865027,-2.449467456006257,0.9444444444444444,0.0,4,5.969305287951849,0,0.0,17.48826214509693,9.53140013787187,4,0.0,3,0,47.97904482798864
242,294.439,1.285714285714286,30.5953613843362,-2.381037080269874,0.4988658106914331,-0.4617120510472346,1.494156493859073,2.0397,41.57,20.77121159907187,45.06250969865027,-2.441716776132343,0.9411764705882353,0.0,4,5.969305287951849,1,0.0,17.48826214509693,9.53140013787187,4,5.316788604006331,3,0,12.6093520497013
243,250.338,1.388888888888889,37.81602062862726,-2.486118704960674,-0.6383796296296296,-0.4665855665452985,1.821839909881013,3.296800000000002,42.60000000000001,13.34455882261663,18.60189066472646,-2.509957589863894,0.7333333333333333,24.15614455143672,1,0.0,1,6.263162995639057,18.125838821658,4.736862953800049,3,0.0,3,0,621.1527476522024
244,345.3020000000001,1.421052631578947,53.74596452657661,-2.489375082353615,-0.5930659486016627,-0.3896743414650767,1.824854781708557,4.527800000000004,29.46,13.34455882261663,23.04888008661475,-2.509401591426808,0.7333333333333333,20.79629654846124,1,27.26672977588409,1,11.33678587793474,12.20793277549661,4.736862953800049,3,0.0,3,0,294.5213810359508
245,264.321,1.421052631578947,37.97413468929975,-2.483748137124813,0.05147675736961455,-0.4665855432192966,1.907657029469888,2.1877,62.83,6.076020106833881,11.99392615299528,-2.544947451772012,0.6,35.80526918833986,1,0.0,2,6.263162995639057,18.125838821658,4.736862953800049,4,0.0,3,1,1134.970717755482
246,250.338,1.388888888888889,31.74965356016564,-2.489605869736985,0.4280569727891164,-0.4722343201398601,1.821839909881013,3.296800000000002,42.60000000000001,13.34455882261663,18.40509473754901,-2.50995349997978,0.7333333333333333,24.15614455143672,1,0.0,1,12.52632599127811,18.125838821658,4.736862953800049,3,0.0,3,0,1198.365429554088
247,364.4380000000001,1.115384615384615,43.53758618099674,-2.490395588443562,0.7470597707951163,-0.4927029063228963,1.985422777244497,2.620500000000001,77.38000000000001,6.076020106833881,11.13655602176626,-2.545342173825653,0.6,29.34531026552336,4,0.0,2,21.3293926238326,12.0218724339097,4.736862953800049,6,14.21058886140015,3,1,823.1739942871725
248,238.327,1.529411764705882,32.76513775206715,-2.483545307880699,0.1748407974300835,-0.3896611626082265,2.253172910368632,1.7981,49.69,18.22806032050164,11.99392615299528,-2.561646406778238,0.7142857142857143,23.80116485057091,1,0.0,2,0.0,18.125838821658,4.736862953800049,3,0.0,2,2,1258.758863760332
