BCUT2D_MWLOW,MolWt,VSA_EState4,BCUT2D_LOGPHI,qed,PEOE_VSA7,VSA_EState8,FpDensityMorgan1,MaxAbsEStateIndex,BalabanJ,EState_VSA5,MaxPartialCharge,MinEStateIndex,MolLogP,SlogP_VSA5,VSA_EState7,BCUT2D_CHGLO,BCUT2D_LOGPLOW,EState_VSA4,VSA_EState1,EState_VSA8,PEOE_VSA6,NumSaturatedHeterocycles,SMR_VSA5,fr_C_S,"IC50, mM"
9.700469635810666,384.6520000000002,4.807589192862531,2.644697757474545,0.4173618732617801,74.03236601452443,16.98108651648622,0.6428571428571429,5.094096221873098,1.164037575501787,64.20821622926012,0.03884365429851114,0.3872247872728121,7.121200000000009,105.7506394274039,13.25822336932681,-2.343082085132494,-2.322229234053284,24.92532490414794,0.0,41.54242319814374,54.38406644399575,0,105.7506394274039,0,6.239373566893883
9.689226058600022,388.6840000000002,2.153503044012327,2.658342289949484,0.4624728071616784,97.95185976514314,17.6705653555792,0.6071428571428571,3.961416712562997,1.080362063115187,77.29772904108526,0.01288657023386288,0.5338684970983402,6.155600000000006,105.7506394274039,14.13538102269576,-2.394689647839289,-2.444816775724512,23.91949375061871,0.0,52.1760004061564,54.38406644399575,0,117.8343210856998,0,0.7718312468161961
9.68129265007358,446.8080000000003,2.184127470091298,2.679014399768647,0.2609227801240689,74.03236601452444,18.2872161632852,0.5625,2.627117384182923,1.219066029523398,86.2637907564745,0.09480154751355077,0.5432308210510737,7.129200000000009,105.7506394274039,14.4916192655274,-2.4772026580666,-2.565224041654418,23.91949375061871,2.517629791177771,69.73311112885249,41.54242319814374,0,117.8343210856998,0,223.8087777802645
9.70049715960851,398.6790000000002,4.827851813732591,2.644708711275066,0.3778455055831542,74.03236601452443,17.01201341019265,0.6206896551724138,5.097360048942529,1.120512909778165,70.62903785218613,0.03884364519596072,0.390602645354716,7.511300000000009,112.1714610503299,14.69543927282678,-2.342884614287352,-2.322030494033969,24.92532490414794,0.0,41.54242319814374,60.80488806692176,0,112.1714610503299,0,1.705624296116444
9.70038553581742,466.7130000000003,9.0717826238612,2.648473252120894,0.4290384545075999,103.0039156488389,14.6923179140855,0.6,5.150509901253949,1.13667806407789,61.07520272649145,0.06289745878380013,0.2704760518661459,9.1148,91.19425591909379,8.627310798875893,-2.342009125064716,-2.318892629384824,29.63140626461592,0.0,90.07335974583661,65.80789147199017,0,86.48817455862581,0,107.1315318094944
9.700404399924688,332.4910000000001,12.35843304181242,2.637658457192008,0.711012171569234,72.40855426450265,7.291772414368499,0.96,5.758408034812463,1.523516049715847,36.10105285494272,0.06289745878380013,0.278082987709212,5.778300000000005,51.16057945124389,4.766280046136041,-2.341882516374624,-2.31885681161874,23.71350021845453,0.0,57.16941400984153,45.03667987291831,0,46.4544980907759,0,15.03791057255341
9.680919227135966,528.8690000000004,7.534827179741789,2.682798253750355,0.3285394231379137,90.16227240298683,15.32736940690484,0.5641025641025641,2.584471926061785,1.156405779851839,61.02660527031718,0.1321598962435728,0.4296494105587354,8.840800000000005,91.19425591909379,9.374572387765228,-2.469845058357347,-2.570517086924708,27.22269543063804,2.020151197669513,118.2640476765454,65.80789147199017,0,98.57185621692173,0,18.90816681541091
9.49217585385057,695.0890000000002,8.473058000295891,2.58593262903773,0.2173322318502264,132.0905303028812,20.05913061783378,0.6078431372549019,13.8218795773563,0.9245477374022117,46.222352196034,0.2257502739547918,-0.3012595406838834,10.83709999999999,184.077099738068,16.41501480298867,-2.54270129672399,-2.549777983204637,96.5601939098633,0.0,102.4216772163073,123.8922081229247,0,174.3680149725315,0,28.77308680552558
9.492103494849209,763.1229999999996,12.08548694301886,2.589584016176127,0.1877813773196451,161.0620799371957,18.37752500961026,0.5614035087719298,14.17161448496984,0.8938029516960042,44.50761193357597,0.2301233691404194,-0.4118276311098905,12.82219999999998,163.0998946068319,11.28886419851416,-2.542448017052229,-2.534166358902851,82.00381040155325,0.0,150.9526137640002,128.8952115279931,0,148.6847284808275,0,50.05706767794174
9.700415948571102,468.6850000000003,6.033338664104559,2.64878228278003,0.4399154244159055,109.7216593163653,14.56293519803611,0.6,6.135893460779373,1.13667806407789,37.10665649724544,0.1270830306641318,0.2392260518661458,9.3163,80.0673529356998,7.523698139305892,-2.341981426347941,-2.318862773257647,47.55125155410974,6.135893460779373,65.80789147199017,41.54242319814374,0,80.0673529356998,0,6.400846618646093
9.700419604583464,334.4630000000001,9.44534862807167,2.637835331795212,0.701836833957373,79.12629793202909,7.227081056343808,0.96,5.856557841500798,1.523516049715847,18.55332824862272,0.1270830305154059,0.2468329877092124,5.979800000000006,40.0336764678499,3.755862605239929,-2.341842673811976,-2.318834796048487,35.21252388502234,5.856557841500798,20.77121159907187,20.77121159907187,0,40.0336764678499,0,4.185789245511488
9.493121969001452,328.5640000000001,5.69068136127908,2.572702580647616,0.6402829083318621,59.6244435285146,11.09572932066664,1.125,2.589341563786008,2.002456526352076,44.21231601223963,0.08373443832014982,0.3802210884353738,5.526500000000006,75.98649581171892,6.819360932644663,-2.560380670350534,-2.552272627118884,10.40093690385602,1.08554007443708,67.03706595217888,52.31487162707333,0,71.13195342895072,0,43.52245819713544
